"ACARA SML ID","First year","Latest year","School name","State","Sector","ICSEA value","Total enrolments"
"40000","2008","2025","Corpus Christi Catholic School","TAS","Catholic","1060","413"
"40001","2008","2025","Fahan School","TAS","Independent","1154","419"
"40002","2008","2025","Geneva Christian College","TAS","Independent","1011","297"
"40003","2008","2025","Holy Rosary Catholic School","TAS","Catholic","977","374"
"40004","2008","2025","Immaculate Heart of Mary Catholic School","TAS","Catholic","1033","195"
"40005","2008","2025","John Calvin School","TAS","Independent","1051","112"
"40006","2008","2025","Larmenier Catholic School","TAS","Catholic","1004","198"
"40007","2008","2025","Launceston Church Grammar School","TAS","Independent","1094","723"
"40008","2008","2025","St James Catholic College","TAS","Catholic","889","218"
"40009","2008","2025","Our Lady of Lourdes Catholic School","TAS","Catholic","1014","385"
"40010","2008","2025","Our Lady of Mercy Catholic School","TAS","Catholic","987","73"
"40011","2008","2025","Sacred Heart Catholic School","TAS","Catholic","1003","246"
"40012","2008","2025","Sacred Heart Catholic School","TAS","Catholic","954","149"
"40014","2008","2025","St Anthony's Catholic School","TAS","Catholic","1026","180"
"40015","2008","2025","St Peter Chanel Catholic School","TAS","Catholic","889","125"
"40016","2008","2025","St Brigid's Catholic School","TAS","Catholic","969","187"
"40017","2008","2025","St Brigid's Catholic School","TAS","Catholic","983","187"
"40018","2008","2025","St Cuthbert's Catholic School","TAS","Catholic","1035","254"
"40019","2008","2025","St John's Catholic School","TAS","Catholic","1010","291"
"40020","2008","2025","St Joseph's Catholic School","TAS","Catholic","969","47"
"40021","2008","2025","St Joseph's Catholic School","TAS","Catholic","902","59"
"40022","2008","2025","St Mary's College","TAS","Catholic","1069","951"
"40023","2008","2025","St Patrick's Catholic School","TAS","Catholic","975","158"
"40024","2008","2025","St Therese's Catholic School","TAS","Catholic","1035","207"
"40025","2008","2025","Hilliard Christian School","TAS","Independent","1012","248"
"40026","2008","2025","Star of the Sea Catholic College","TAS","Catholic","939","181"
"40027","2008","2025","Stella Maris Catholic School","TAS","Catholic","1024","382"
"40028","2008","2025","The Friends' School","TAS","Independent","1149","1269"
"40029","2008","2025","The Hutchins School","TAS","Independent","1140","986"
"40030","2008","2025","The Cottage School","TAS","Independent","1113","77"
"40031","2008","2025","Launceston Christian School","TAS","Independent","1070","742"
"40032","2008","2025","Leighland Christian School","TAS","Independent","1011","636"
"40033","2008","2025","North West Christian School","TAS","Independent","985","123"
"40034","2008","2010","Lambert School","TAS","Independent","1011","25"
"40035","2008","2025","St Michael's Collegiate School","TAS","Independent","1125","636"
"40036","2008","2025","Scotch Oakburn College","TAS","Independent","1119","1164"
"40037","2008","2025","John Paul II Catholic School","TAS","Catholic","968","199"
"40038","2008","2025","The Launceston Preparatory School","TAS","Independent","1143","112"
"40039","2008","2025","Eastside Lutheran College","TAS","Independent","1003","253"
"40040","2008","2014","Lambert School","TAS","Independent","1051","63"
"40041","2008","2025","St Thomas More's Catholic School","TAS","Catholic","1033","315"
"40042","2008","2025","St Paul's Catholic School","TAS","Catholic","895","178"
"40043","2008","2025","Circular Head Christian School","TAS","Independent","903","265"
"40044","2008","2025","Southern Christian College","TAS","Independent","1059","312"
"40045","2008","2025","Brooks High School","TAS","Government","886","451"
"40046","2008","2025","Flinders Island District High School","TAS","Government","924","95"
"40047","2008","2025","Lilydale District School","TAS","Government","939","291"
"40048","2008","2025","Ravenswood Heights Primary School","TAS","Government","829","264"
"40049","2008","2025","Scottsdale High School","TAS","Government","908","260"
"40050","2008","2025","Parklands High School","TAS","Government","885","408"
"40051","2008","2025","Reece High School","TAS","Government","921","520"
"40052","2008","2025","Ulverstone Secondary College","TAS","Government","915","504"
"40053","2008","2025","Wynyard High School","TAS","Government","922","222"
"40054","2008","2025","Cosgrove High School","TAS","Government","867","313"
"40055","2008","2010","Bridgewater High School","TAS","Government","854","285"
"40056","2008","2025","Dover District School","TAS","Government","863","144"
"40057","2008","2025","Geeveston Primary School","TAS","Government","916","41"
"40058","2008","2025","Huonville High School","TAS","Government","901","281"
"40059","2008","2025","Bayview Secondary College","TAS","Government","873","357"
"40060","2008","2025","Bothwell District High School","TAS","Government","893","78"
"40061","2008","2025","Deloraine High School","TAS","Government","932","235"
"40062","2008","2025","Glenora District School","TAS","Government","890","203"
"40063","2008","2025","New Norfolk High School","TAS","Government","881","319"
"40064","2008","2025","Oatlands District High School","TAS","Government","914","198"
"40065","2008","2022","Ouse District School","TAS","Government","","10"
"40066","2008","2025","Rosebery District School","TAS","Government","845","63"
"40067","2008","2025","St Helens District High School","TAS","Government","958","505"
"40068","2008","2025","St Marys District School","TAS","Government","928","215"
"40069","2008","2025","Triabunna District School","TAS","Government","883","151"
"40070","2008","2025","Burnie High School","TAS","Government","951","502"
"40071","2008","2025","Campbell Town District High School","TAS","Government","911","193"
"40072","2008","2025","Cressy District High School","TAS","Government","936","415"
"40073","2008","2025","Dunalley Primary School","TAS","Government","970","136"
"40074","2008","2025","Exeter High School","TAS","Government","941","325"
"40075","2008","2025","King Island District High School","TAS","Government","950","170"
"40076","2008","2025","Kingston High School","TAS","Government","1000","577"
"40077","2008","2025","Kings Meadows High School","TAS","Government","963","567"
"40078","2008","2021","Ogilvie High School","TAS","Government","959","645"
"40080","2008","2025","Prospect High School","TAS","Government","958","572"
"40081","2008","2025","Riverside High School","TAS","Government","1009","624"
"40082","2008","2025","Smithton High School","TAS","Government","849","283"
"40083","2008","2025","Sorell School","TAS","Government","924","792"
"40084","2008","2025","Taroona High School","TAS","Government","1119","1134"
"40085","2008","2025","Tasman District School","TAS","Government","930","152"
"40086","2008","2025","Winnaleah District High School","TAS","Government","859","111"
"40087","2008","2025","Woodbridge School","TAS","Government","1011","336"
"40088","2008","2025","Yolla District School","TAS","Government","880","110"
"40090","2016","2025","North West Support School","TAS","Government","938","132"
"40092","2008","2025","Invermay Primary School","TAS","Government","925","295"
"40093","2008","2025","Mowbray Heights Primary School","TAS","Government","925","494"
"40096","2008","2025","Rose Bay High School","TAS","Government","982","533"
"40097","2008","2025","Queechy High School","TAS","Government","949","575"
"40098","2008","2025","Devonport High School","TAS","Government","939","342"
"40099","2008","2025","Sacred Heart Catholic School","TAS","Catholic","1038","390"
"40100","2008","2025","Albuera Street Primary School","TAS","Government","1133","252"
"40101","2008","2025","Campbell Street Primary School","TAS","Government","1075","219"
"40102","2008","2025","Goulburn Street Primary School","TAS","Government","1112","218"
"40103","2008","2025","Lansdowne Crescent Primary School","TAS","Government","1130","404"
"40104","2008","2025","Mount Stuart Primary School","TAS","Government","1138","340"
"40105","2008","2025","South Hobart Primary School","TAS","Government","1137","436"
"40106","2008","2025","Princes Street Primary School","TAS","Government","1150","343"
"40107","2008","2025","Waimea Heights Primary School","TAS","Government","1135","359"
"40108","2008","2025","Taroona Primary School","TAS","Government","1149","274"
"40109","2008","2025","Mount Nelson Primary School","TAS","Government","1107","233"
"40110","2008","2025","Lenah Valley Primary School","TAS","Government","1080","525"
"40111","2008","2021","New Town High School","TAS","Government","968","666"
"40112","2008","2025","New Town Primary School","TAS","Government","1057","305"
"40113","2008","2025","Bowen Road Primary School","TAS","Government","973","212"
"40114","2008","2025","Goodwood Primary School","TAS","Government","861","101"
"40115","2008","2025","Moonah Primary School","TAS","Government","942","214"
"40116","2008","2025","Springfield Gardens Primary School","TAS","Government","918","192"
"40117","2008","2010","Glenorchy Primary School","TAS","Government","950",""
"40118","2008","2010","Mt Faulkner Primary School","TAS","Government","884","174"
"40119","2008","2025","Rosetta Primary School","TAS","Government","965","309"
"40120","2008","2010","Abbotsfield Primary School","TAS","Government","902","183"
"40121","2008","2010","Claremont Primary School","TAS","Government","922","316"
"40122","2008","2010","Roseneath Primary School","TAS","Government","931","189"
"40123","2008","2025","Collinsvale Primary School","TAS","Government","956","62"
"40125","2008","2025","Lindisfarne North Primary School","TAS","Government","995","321"
"40126","2008","2025","Lindisfarne Primary School","TAS","Government","1060","331"
"40127","2008","2025","Risdon Vale Primary School","TAS","Government","875","172"
"40128","2008","2025","Bellerive Primary School","TAS","Government","1060","458"
"40129","2008","2025","Clarence High School","TAS","Government","1021","626"
"40130","2008","2025","Howrah Primary School","TAS","Government","1057","630"
"40131","2008","2025","Montagu Bay Primary School","TAS","Government","1081","318"
"40132","2008","2025","Warrane Primary School","TAS","Government","904","158"
"40133","2008","2025","Clarendon Vale Primary School","TAS","Government","754","124"
"40134","2008","2025","Rokeby Primary School","TAS","Government","860","199"
"40135","2008","2025","Lauderdale Primary School","TAS","Government","1037","689"
"40136","2008","2025","South Arm Primary School","TAS","Government","1060","69"
"40137","2008","2025","Richmond Primary School","TAS","Government","1021","198"
"40138","2008","2025","Campania District School","TAS","Government","900","202"
"40139","2008","2025","Glen Huon Primary School","TAS","Government","1000","115"
"40140","2008","2025","Huonville Primary School","TAS","Government","909","270"
"40141","2008","2025","Cygnet Primary School","TAS","Government","968","190"
"40142","2008","2025","Franklin Primary School","TAS","Government","956","154"
"40143","2008","2025","Kingston Primary School","TAS","Government","1002","338"
"40144","2008","2025","Blackmans Bay Primary School","TAS","Government","1035","257"
"40145","2008","2025","Margate Primary School","TAS","Government","1014","364"
"40146","2008","2025","Snug Primary School","TAS","Government","1005","323"
"40147","2008","2025","Bruny Island District School","TAS","Government","992","56"
"40148","2008","2025","Cambridge Primary School","TAS","Government","1041","350"
"40150","2008","2025","Evandale Primary School","TAS","Government","979","101"
"40151","2008","2019","Avoca Primary School","TAS","Government","772","11"
"40153","2008","2025","Bicheno Primary School","TAS","Government","1029","102"
"40154","2008","2025","East Launceston Primary School","TAS","Government","1046","501"
"40155","2008","2025","Glen Dhu Primary School","TAS","Government","1007","341"
"40156","2008","2025","Norwood Primary School","TAS","Government","1002","415"
"40157","2008","2025","Punchbowl Primary School","TAS","Government","1029","317"
"40158","2008","2025","Riverside Primary School","TAS","Government","1018","673"
"40159","2008","2025","St Leonards Primary School","TAS","Government","927","198"
