CRICOS Provider Code,Institution Name,Location Name,Location Type,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Postcode
00001K,Canberra Institute of Technology,"Canberra Institute of Technology - Vowels cresent, BRUCE",Location owned and operated by provider,Vowels cres,,,,BRUCE,ACT,2617
00001K,Canberra Institute of Technology,CIT Tuggeranong,Location owned and operated by provider,CIT Tuggeranong - 205 Anketell St,,,,GREENWAY,ACT,2900
00001K,Canberra Institute of Technology,CIT Woden,Location owned and operated by provider,36 Bradley Street,,,,PHILLIP,ACT,2606
00002J,Macquarie University (Macquarie),Macquarie University Sydney City Campus (Angel Place),Location owned and operated by provider,Levels 23 & 24,123 Pitt St,,,Sydney,NSW,2000
00002J,Macquarie University (Macquarie),Macquarie University Wallumattagal Campus at North Ryde,Location owned and operated by provider,Wallumattagal Campus,,,,Macquarie University,NSW,2109
00003G,University of New England,"28 George Street, Parramatta",Location owned and operated by provider,28 George Street,,,,Parramatta,NSW,2150
00003G,University of New England,"Church Street, Parramatta campus",Location owned and operated by provider,211 Church St,,,,Parramatta,NSW,2150
00003G,University of New England,"Level 3, 112-118 Rundle Mall, Adelaide SA 5000",Location owned and operated by provider,"Level 3, 112-118 Rundle Mall",,,,Adelaide,SA,5000
00003G,University of New England,"Level 4, 100 George Street, Parramatta campus",Location owned and operated by provider,Level 4,100 George Street,,,Parramatta,NSW,2150
00003G,University of New England,University of New England,Location owned and operated by provider,17 Arts Rd,,,,ARMIDALE,NSW,2351
00003G,University of New England,University of New England (ELICOS operations),Location owned and operated by provider,English Language Centre,Booloomingah Dr,,,ARMIDALE,NSW,2350
00004G,Australian Catholic University Limited,Australian Catholic University-Ballarat Campus,Location owned and operated by provider,1200 Mair St,,,,Ballarat,VIC,3350
00004G,Australian Catholic University Limited,Australian Catholic University-Blacktown CBD Campus,Location owned and operated by provider,22 Main St,,,,Blacktown,NSW,2148
00004G,Australian Catholic University Limited,Australian Catholic University-Brisbane Campus,Location owned and operated by provider,1100 Nudgee Rd,,,,BANYO,QLD,4014
00004G,Australian Catholic University Limited,Australian Catholic University-Canberra Campus,Location owned and operated by provider,223 Antill St,,,,Watson,ACT,2602
00004G,Australian Catholic University Limited,Australian Catholic University-Melbourne Campus,Location owned and operated by provider,Victoria Pde,,,,FITZROY,VIC,3065
00004G,Australian Catholic University Limited,Australian Catholic University-North Sydney Campus,Location owned and operated by provider,40 Edward St,,,,NORTH SYDNEY,NSW,2060
00004G,Australian Catholic University Limited,Strathfield Campus,Location owned and operated by provider,25A Barker Rd,,,,STRATHFIELD,NSW,2135
00005F,Charles Sturt University (CSU),"77 Berry St, North Sydney, NSW 2060",Arrangement with Non Registered Provider,77 Berry Street,,,,North Sydney,NSW,2060
00005F,Charles Sturt University (CSU),Albury,Location owned and operated by provider,Elizabeth Mitchell Dr,,,,Thurgoona,NSW,2640
00005F,Charles Sturt University (CSU),Bathurst,Location owned and operated by provider,Panorama Ave,,,,Bathurst,NSW,2795
00005F,Charles Sturt University (CSU),Dubbo,Location owned and operated by provider,Tony McGrane Pl,,,,Dubbo,NSW,2830
00005F,Charles Sturt University (CSU),Holmesglen Institute of TAFE,Arrangement with other registered provider,1 Batesford Rd,,,,CHADSTONE,VIC,3148
00005F,Charles Sturt University (CSU),"Level 3, 222 Bourke Street, Melbourne, VIC, 3000",Arrangement with Non Registered Provider,"Level 3, 222 Bourke Street",,,,Melbourne,VIC,3000
00005F,Charles Sturt University (CSU),Orange,Location owned and operated by provider,Leeds Pde,,,,Orange,NSW,2800
00005F,Charles Sturt University (CSU),Port Macquarie (7 Major Innes Road),Location owned and operated by provider,7 Major Innes Rd,,,,Port Macquarie,NSW,2444
00005F,Charles Sturt University (CSU),St Marks Theological Centre,Arrangement with Non Registered Provider,15 Blackall St,,,,Barton,ACT,2600
00005F,Charles Sturt University (CSU),United Theological College,Arrangement with Non Registered Provider,16 Masons Dr,,,,North Parramatta,NSW,2800
00005F,Charles Sturt University (CSU),Wagga Wagga,Location owned and operated by provider,Boorooma St,,,,Wagga Wagga,NSW,2675
00008C,Monash University (Monash),750 Collins St Docklands,Location owned and operated by provider,750 Collins Street,,,,Docklands,VIC,3008
00008C,Monash University (Monash),Churchill,Location owned and operated by provider,Northways Rd,,,,Churchill,VIC,3842
00008C,Monash University (Monash),Monash Caulfield,Location owned and operated by provider,900 Dandenong Rd,,,,Caulfield East,VIC,3145
00008C,Monash University (Monash),Monash City,Location owned and operated by provider,Level 7,271 Collins St,,,Melbourne,VIC,3000
00008C,Monash University (Monash),Monash Clayton,Location owned and operated by provider,Wellington Rd,,,,CLAYTON,VIC,3800
00008C,Monash University (Monash),Monash Law Chambers,Location owned and operated by provider,555 Lonsdale St,"Ground level 1,2 and 11",,,Melbourne,VIC,3000
00008C,Monash University (Monash),Monash Parkville,Location owned and operated by provider,381 Royal Pde,,,,Parkville,VIC,3052
00008C,Monash University (Monash),Monash Peninsula,Location owned and operated by provider,Moorooduc Hwy,,,,Frankston,VIC,3199
00008C,Monash University (Monash),Monash University Alfred Campus,Location owned and operated by provider,"Level 6, Alfred Centre",99 Commercial Road,,,Melbourne,VIC,3004
00011G,Gordon Institute of TAFE,"180 Princess Street, Werribee VIC",Location owned and operated by provider,180 Princess St,,,,Werribee,VIC,3030
00011G,Gordon Institute of TAFE,185 St Albans Road,Location owned and operated by provider,185 St Albans Rd,,,,East Geelong,VIC,3219
00011G,Gordon Institute of TAFE,24 Watton St WERRIBEE,Location owned and operated by provider,24 Watton St,,,,WERRIBEE,VIC,3030
00011G,Gordon Institute of TAFE,Gordon Institute of TAFE - GEELONG,Location owned and operated by provider,2 Fenwick St,,,,GEELONG,VIC,3220
00012G,Holmesglen Institute,206 Bourke St MELBOURNE VIC,Arrangement with Non Registered Provider,206 Bourke St,,,,Melbourne,VIC,3000
00012G,Holmesglen Institute,Chadstone Campus,Location owned and operated by provider,1 Batesford Rd,,,,CHADSTONE,VIC,3148
00012G,Holmesglen Institute,Moorabbin Campus,Location owned and operated by provider,488 South Rd,,,,Moorabbin,VIC,3189
00012G,Holmesglen Institute,Waverley Campus,Location owned and operated by provider,585 Waverly Rd,,,,Glen Waverley,VIC,3150
00017B,Bond University,Gold Coast campus,Location owned and operated by provider,14 University Drive,,,,ROBINA,QLD,4226
00018A,Department for Education,Aberfoyle Park High School,Location owned and operated by provider,36A Taylors Rd W,,,,Aberfoyle Park,SA,5159
00018A,Department for Education,Adelaide High School,Location owned and operated by provider,West Tce,,,,Adelaide,SA,5000
00018A,Department for Education,Adelaide Secondary School of English,Location owned and operated by provider,253 Torrens Rd,,,,Croydon,SA,5008
00018A,Department for Education,Aldinga Payinthi College,Location owned and operated by provider,150 Quinliven Road,,,,ALDINGA,SA,5173
00018A,Department for Education,Allenby Gardens Primary School,Location owned and operated by provider,Barham St,,,,Allenby Gardens,SA,5009
00018A,Department for Education,Australian Science and Mathematics School,Location owned and operated by provider,Flinders University,Sturt Rd,,,Bedford Park,SA,5042
00018A,Department for Education,Avenues College,Location owned and operated by provider,McKay Ave,,,,WINDSOR GARDENS,SA,5087
00018A,Department for Education,Balaklava High School,Location owned and operated by provider,14 Gwy Terrace,,,,Balaklava,SA,5461
00018A,Department for Education,Banksia Park International High School,Location owned and operated by provider,610 Milne Rd,,,,Banksia Park,SA,5091
00018A,Department for Education,Bellevue Heights Primary School,Location owned and operated by provider,7 Vaucluse Cres,,,,Bellevue Heights,SA,5050
00018A,Department for Education,Birdwood High School,Location owned and operated by provider,Shannon St,,,,Birdwood,SA,5234
00018A,Department for Education,Blackwood High School,Location owned and operated by provider,4 Seymour St,,,,Eden Hills,SA,5050
00018A,Department for Education,Blackwood Primary School,Location owned and operated by provider,4 Seymour St,,,,Eden Hills,SA,5050
00018A,Department for Education,Brighton Secondary School,Location owned and operated by provider,305 Brighton Rd,,,,Brighton North,SA,5048
