"ACARA SML ID","School Name","Suburb","State","Postcode","School Sector","School Type","ICSEA Percentile","CRICOS Status","CRICOS Registered","Jitter","Match Type","CRICOS Provider Code","CRICOS Institution","CRICOS Location"
"40000","Corpus Christi Catholic School","Bellerive","TAS","7018","Catholic","Primary","72","Not registered","0","-0.3362","","","",""
"40001","Fahan School","Sandy Bay","TAS","7005","Independent","Combined","96","Not registered","0","-0.3075","","","",""
"40002","Geneva Christian College","Latrobe","TAS","7307","Independent","Combined","52","Not registered","0","-0.2788","","","",""
"40003","Holy Rosary Catholic School","Claremont","TAS","7011","Catholic","Primary","36","Not registered","0","-0.2501","","","",""
"40004","Immaculate Heart of Mary Catholic School","Lenah Valley","TAS","7008","Catholic","Primary","61","Not registered","0","-0.2214","","","",""
"40005","John Calvin School","Launceston","TAS","7250","Independent","Combined","69","Not registered","0","-0.1927","","","",""
"40006","Larmenier Catholic School","St Leonards","TAS","7250","Catholic","Primary","49","Not registered","0","-0.164","","","",""
"40007","Launceston Church Grammar School","Mowbray","TAS","7248","Independent","Combined","82","CRICOS registered","1","-0.1353","Location name, state and postcode","00650K","LAUNCESTON CHURCH GRAMMAR SCHOOL","Launceston Church Grammar School"
"40008","St James Catholic College","Cygnet","TAS","7112","Catholic","Combined","9","Not registered","0","-0.1066","","","",""
"40009","Our Lady of Lourdes Catholic School","Devonport","TAS","7310","Catholic","Primary","53","Not registered","0","-0.0779","","","",""
"40010","Our Lady of Mercy Catholic School","Deloraine","TAS","7304","Catholic","Primary","41","Not registered","0","-0.0492","","","",""
"40011","Sacred Heart Catholic School","Ulverstone","TAS","7315","Catholic","Primary","48","Not registered","0","-0.0205","","","",""
"40012","Sacred Heart Catholic School","Geeveston","TAS","7116","Catholic","Primary","26","Not registered","0","0.0082","","","",""
"40014","St Anthony's Catholic School","Riverside","TAS","7250","Catholic","Primary","58","Not registered","0","0.0657","","","",""
"40015","St Peter Chanel Catholic School","Smithton","TAS","7330","Catholic","Primary","9","Not registered","0","0.0944","","","",""
"40016","St Brigid's Catholic School","New Norfolk","TAS","7140","Catholic","Primary","33","Not registered","0","0.1231","","","",""
"40017","St Brigid's Catholic School","Wynyard","TAS","7325","Catholic","Primary","39","Not registered","0","0.1518","","","",""
"40018","St Cuthbert's Catholic School","Lindisfarne","TAS","7015","Catholic","Primary","62","Not registered","0","0.1805","","","",""
"40019","St John's Catholic School","Richmond","TAS","7025","Catholic","Primary","52","Not registered","0","0.2092","","","",""
"40020","St Joseph's Catholic School","Rosebery","TAS","7470","Catholic","Primary","33","Not registered","0","0.2379","","","",""
"40021","St Joseph's Catholic School","Queenstown","TAS","7467","Catholic","Primary","11","Not registered","0","0.2666","","","",""
"40022","St Mary's College","Hobart","TAS","7000","Catholic","Combined","75","Not registered","0","0.2953","","","",""
"40023","St Patrick's Catholic School","Latrobe","TAS","7307","Catholic","Primary","35","Not registered","0","0.324","","","",""
"40024","St Therese's Catholic School","Moonah","TAS","7009","Catholic","Primary","62","Not registered","0","0.3527","","","",""
"40025","Hilliard Christian School","West Moonah","TAS","7009","Independent","Combined","52","Not registered","0","-0.3386","","","",""
"40026","Star of the Sea Catholic College","George Town","TAS","7253","Catholic","Combined","21","Not registered","0","-0.3099","","","",""
"40027","Stella Maris Catholic School","Burnie","TAS","7320","Catholic","Primary","57","Not registered","0","-0.2812","","","",""
"40028","The Friends' School","North Hobart","TAS","7000","Independent","Combined","95","CRICOS registered","1","-0.2525","Location name, state and postcode","00477G","The Friends' School Incorporated","The Friends' School"
"40029","The Hutchins School","Sandy Bay","TAS","7005","Independent","Combined","93","CRICOS registered","1","-0.2237","Location name, state and postcode","00478F","HUTCHINS SCHOOL BOARD OF MANAGEMENT","The Hutchins School"
"40030","The Cottage School","Bellerive","TAS","7018","Independent","Primary","87","Not registered","0","-0.195","","","",""
"40031","Launceston Christian School","Riverside","TAS","7250","Independent","Combined","75","Not registered","0","-0.1663","","","",""
"40032","Leighland Christian School","Ulverstone","TAS","7315","Independent","Combined","52","Not registered","0","-0.1376","","","",""
"40033","North West Christian School","Penguin","TAS","7316","Independent","Combined","40","Not registered","0","-0.1089","","","",""
"40035","St Michael's Collegiate School","Hobart","TAS","7000","Independent","Combined","90","CRICOS registered","1","-0.0515","Institution name, state and postcode","00482K","ST MICHAEL'S COLLEGIATE SCHOOL","The Christ College Trust"
"40036","Scotch Oakburn College","Newstead","TAS","7250","Independent","Combined","89","CRICOS registered","1","-0.0228","Location name, state and postcode","00480A","SCOTCH OAKBURN COLLEGE","Scotch Oakburn College"
"40037","John Paul II Catholic School","Clarendon Vale","TAS","7019","Catholic","Primary","33","Not registered","0","0.0059","","","",""
"40038","The Launceston Preparatory School","Launceston","TAS","7250","Independent","Primary","94","Not registered","0","0.0346","","","",""
"40039","Eastside Lutheran College","Warrane","TAS","7018","Independent","Combined","48","Not registered","0","0.0633","","","",""
"40041","St Thomas More's Catholic School","Newstead","TAS","7250","Catholic","Primary","61","Not registered","0","0.1207","","","",""
"40042","St Paul's Catholic School","Bridgewater","TAS","7030","Catholic","Primary","10","Not registered","0","0.1494","","","",""
"40043","Circular Head Christian School","Smithton","TAS","7330","Independent","Combined","11","Not registered","0","0.1781","","","",""
