region,total,lat,lon,state,remoteness,n_government,n_catholic,n_independent,dominant_sector
Adelaide City,18,-34.9247,138.5988,SA,Major Cities,5,5,8,Independent
Adelaide Hills,45,-34.9951,138.8174,SA,Major Cities,31,3,11,Government
Albany,55,-34.5397,117.8594,WA,Outer Regional,35,3,17,Government
Albury,46,-35.9356,146.9449,NSW,Inner Regional,25,6,15,Government
Alice Springs,57,-23.6494,133.0001,NT,Very Remote,38,5,14,Government
Armadale,43,-32.1386,115.9845,WA,Major Cities,27,3,13,Government
Armidale,35,-30.5657,151.6548,NSW,Inner Regional,23,5,7,Government
Auburn,30,-33.8566,151.0382,NSW,Major Cities,11,6,13,Independent
Augusta - Margaret River - Busselton,26,-33.788,115.1896,WA,Inner Regional,14,3,9,Government
Bald Hills - Everton Park,7,-27.3736,152.9932,QLD,Major Cities,4,0,3,Government
Ballarat,64,-37.563,143.8445,VIC,Inner Regional,40,16,8,Government
Bankstown,64,-33.9247,151.0199,NSW,Major Cities,40,12,12,Government
Banyule,48,-37.7269,145.0843,VIC,Major Cities,33,11,4,Government
Barkly,12,-19.7897,134.86,NT,Very Remote,12,0,0,Government
Barossa,21,-34.5209,138.924,SA,Inner Regional,16,0,5,Government
Barwon - West,12,-38.092,144.0578,VIC,Inner Regional,10,1,1,Government
Bathurst,30,-33.4568,149.6105,NSW,Inner Regional,19,6,5,Government
Baulkham Hills,37,-33.7328,150.9923,NSW,Major Cities,21,6,10,Government
Baw Baw,43,-38.135,145.9692,VIC,Inner Regional,33,5,5,Government
Bayside,37,-37.9355,145.0135,VIC,Major Cities,17,11,9,Government
Bayswater - Bassendean,26,-31.9032,115.9185,WA,Major Cities,19,4,3,Government
Beaudesert,11,-28.0574,152.9695,QLD,Inner Regional,8,2,1,Government
Beenleigh,12,-27.7145,153.2004,QLD,Major Cities,10,2,0,Government
Belconnen,35,-35.227,149.0554,ACT,Major Cities,26,7,2,Government
Belmont - Victoria Park,27,-31.966,115.9201,WA,Major Cities,16,6,5,Government
Bendigo,47,-36.7587,144.2771,VIC,Inner Regional,29,12,6,Government
Biloela,16,-24.4658,150.2651,QLD,Outer Regional,14,1,1,Government
Blacktown,48,-33.7678,150.9087,NSW,Major Cities,30,10,8,Government
Blacktown - North,44,-33.7016,150.8807,NSW,Major Cities,26,11,7,Government
Blue Mountains,41,-33.7035,150.4812,NSW,Major Cities,23,5,13,Government
Boroondara,65,-37.8209,145.0587,VIC,Major Cities,28,14,23,Government
Botany,12,-33.9367,151.211,NSW,Major Cities,8,3,1,Government
Bourke - Cobar - Coonamble,38,-30.5936,147.1046,NSW,Remote,29,7,2,Government
Bowen Basin - North,29,-21.5142,148.1875,QLD,Outer Regional,25,4,0,Government
Bribie - Beachmere,5,-27.0921,153.1121,QLD,Inner Regional,4,0,1,Government
Brighton,8,-42.7312,147.2507,TAS,Inner Regional,6,1,1,Government
Brimbank,72,-37.755,144.8007,VIC,Major Cities,47,19,6,Government
Bringelly - Green Valley,53,-33.9457,150.8161,NSW,Major Cities,30,8,15,Government
Brisbane Inner,29,-27.4656,153.0263,QLD,Major Cities,6,8,15,Independent
Brisbane Inner - East,8,-27.4673,153.0645,QLD,Major Cities,5,2,1,Government
Brisbane Inner - North,24,-27.4302,153.0382,QLD,Major Cities,13,7,4,Government
Brisbane Inner - West,22,-27.4621,152.9887,QLD,Major Cities,11,7,4,Government
Broadbeach - Burleigh,8,-28.0715,153.4316,QLD,Major Cities,6,2,0,Government
Broken Hill and Far West,16,-31.7652,142.0727,NSW,Outer Regional,14,2,0,Government
Browns Plains,21,-27.692,153.0652,QLD,Major Cities,12,2,7,Government
Brunswick - Coburg,27,-37.7529,144.9614,VIC,Major Cities,17,8,2,Government
Buderim,12,-26.6983,153.0764,QLD,Major Cities,5,2,5,Government
Bunbury,62,-33.3068,115.7565,WA,Inner Regional,42,10,10,Government
Bundaberg,47,-24.903,152.3168,QLD,Inner Regional,34,5,8,Government
Burnett,51,-25.9249,151.7331,QLD,Outer Regional,44,5,2,Government
Burnie - Ulverstone,32,-41.0893,145.9427,TAS,Outer Regional,22,4,6,Government
Burnside,12,-34.932,138.6526,SA,Major Cities,6,1,5,Government
Caboolture,29,-27.08,152.9465,QLD,Major Cities,16,2,11,Government
Caboolture Hinterland,8,-26.9526,152.5873,QLD,Inner Regional,8,0,0,Government
Cairns - North,14,-16.8425,145.7,QLD,Outer Regional,7,4,3,Government
Cairns - South,41,-16.9692,145.7519,QLD,Outer Regional,19,13,9,Government
Caloundra,19,-26.7893,153.1102,QLD,Major Cities,12,3,4,Government
Camden,19,-34.0539,150.7309,NSW,Major Cities,15,3,1,Government
Campaspe,27,-36.271,144.8185,VIC,Inner Regional,18,7,2,Government
Campbelltown (NSW),78,-34.0414,150.8354,NSW,Major Cities,53,7,18,Government
Campbelltown (SA),14,-34.8834,138.6764,SA,Major Cities,9,4,1,Government
Canada Bay,21,-33.8569,151.1125,NSW,Major Cities,12,7,2,Government
Canning,34,-32.0331,115.9113,WA,Major Cities,24,5,5,Government
Canterbury,34,-33.9206,151.0867,NSW,Major Cities,20,7,7,Government
Capalaba,18,-27.5144,153.2134,QLD,Major Cities,12,3,3,Government
Cardinia,52,-38.067,145.4738,VIC,Major Cities,31,8,13,Government
Carindale,11,-27.4857,153.089,QLD,Major Cities,6,4,1,Government
Carlingford,21,-33.7911,151.0471,NSW,Major Cities,15,4,2,Government
Casey - North,52,-38.0089,145.3002,VIC,Major Cities,30,8,14,Government
Casey - South,62,-38.0964,145.2984,VIC,Major Cities,46,9,7,Government
Centenary,6,-27.5466,152.9319,QLD,Major Cities,5,0,1,Government
Central Highlands (Qld),32,-23.7594,148.4551,QLD,Outer Regional,25,4,3,Government
Central Highlands (Tas.),8,-42.5454,147.077,TAS,Outer Regional,8,0,0,Government
Charles Sturt,39,-34.8929,138.5323,SA,Major Cities,24,12,3,Government
Charters Towers - Ayr - Ingham,50,-19.4027,146.6367,QLD,Outer Regional,35,11,4,Government
Chatswood - Lane Cove,28,-33.8091,151.1861,NSW,Major Cities,14,5,9,Government
Chermside,21,-27.3884,153.026,QLD,Major Cities,14,7,0,Government
Clarence Valley,36,-29.621,153.0513,NSW,Inner Regional,25,5,6,Government
Cleveland - Stradbroke,25,-27.5684,153.285,QLD,Major Cities,14,3,8,Government
Cockburn,42,-32.119,115.8249,WA,Major Cities,26,4,12,Government
